"filename", "language", "pip requirements", "Properties", "Python", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "SCSS", "Vue", "SVG", "HTML", "comment", "blank", "total"
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\home\components\Editor.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 4, 3, 67
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 0, 11, 5, 224
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\permission\directive.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\permission\page.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\redirect\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21756\Desktop\krl\examples\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\21756\Desktop\krl\examples\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\21756\Desktop\krl\examples\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\21756\Desktop\krl\examples\frontend\tsconfig.vitest.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\21756\Desktop\krl\examples\frontend\types\api.d.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\21756\Desktop\krl\examples\frontend\types\global-components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\21756\Desktop\krl\examples\frontend\types\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21756\Desktop\krl\examples\frontend\types\vue-router.d.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 36, 2, 53
"c:\Users\21756\Desktop\krl\examples\frontend\uno.config.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 2, 21
"c:\Users\21756\Desktop\krl\examples\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 2, 40
"c:\Users\21756\Desktop\krl\examples\frontend\vitest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
